,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,Year,MONEY,COUNTRY
0,Aaron Baddeley,83,70.08800000000001,291.9,60.0,60.35,0.629,0.435,1.064,17703,7,1,2007,3441119,AUS
1,Adam Scott,69,70.008,300.9,59.17,65.44,0.129,1.105,1.234,15630,6,1,2007,3413185,AUS
2,Alex Cejka,80,70.437,288.9,68.08,69.44,-0.479,1.207,0.728,2400,4,0,2007,868303,GER
3,Anders Hansen,55,70.85600000000001,280.7,66.95,62.85,-0.17600000000000002,0.087,-0.08900000000000001,1989,0,0,2007,461216,DEN
4,Andrew Buckle,77,71.443,294.7,58.14,62.52,0.161,-0.426,-0.265,1875,1,0,2007,513630,AUS
5,Anthony Kim,93,70.128,302.4,60.79,65.35,-0.121,0.794,0.6729999999999999,6856,4,0,2007,1545195,USA
6,Arron Oberholser,69,69.807,285.5,61.7,62.25,0.36200000000000004,0.821,1.183,8811,5,0,2007,1797458,USA
7,Bart Bryant,87,70.637,281.1,70.66,66.34,0.198,0.44,0.638,4555,2,0,2007,1167874,USA
8,Ben Curtis,80,71.582,277.1,67.37,60.56,-0.188,-0.561,-0.7490000000000001,2955,2,0,2007,772321,USA
9,Bill Haas,93,70.653,302.7,62.93,65.98,-0.018000000000000002,0.426,0.408,2461,3,0,2007,967443,USA
10,Billy Andrade,88,71.58800000000001,286.2,59.56,65.03,-0.134,-0.107,-0.24100000000000002,2019,0,0,2007,499197,USA
11,Billy Mayfair,98,70.444,286.8,70.7,68.08,-0.086,0.69,0.604,6309,6,0,2007,1814518,USA
12,Bo Van Pelt,104,70.051,294.7,61.97,66.4,0.16,0.789,0.9490000000000001,5604,4,0,2007,1559181,USA
13,Bob Estes,88,70.962,282.6,65.28,63.19,0.616,-0.235,0.38,3119,3,0,2007,878051,USA
14,Bob Heintz,85,71.16199999999999,285.2,64.74,63.17,0.221,-0.14300000000000002,0.078,2888,2,0,2007,649342,USA
15,Bob Tway,103,71.27199999999999,284.3,60.45,63.52,0.16,-0.489,-0.32899999999999996,1790,0,0,2007,456767,USA
16,Boo Weekley,101,70.303,296.6,64.65,65.86,-0.192,0.8190000000000001,0.627,10790,5,1,2007,2613211,USA
17,Brandt Snedeker,105,70.089,285.6,59.8,64.58,0.511,0.161,0.672,13277,6,1,2007,2836643,USA
18,Brendon de Jonge,76,71.413,293.8,59.2,64.35,-0.083,-0.188,-0.271,1010,2,0,2007,447172,ZIM
19,Brett Quigley,79,71.212,290.7,55.9,62.11,-0.005,0.134,0.128,2963,1,0,2007,717411,USA
20,Brett Wetterich,88,70.902,303.3,58.15,66.28,-0.5329999999999999,0.667,0.134,9854,4,0,2007,2208282,USA
21,Brian Bateman,55,71.657,291.6,58.74,61.33,-0.079,-0.66,-0.7390000000000001,5102,1,1,2007,1022763,USA
22,Brian Davis,101,70.79899999999999,279.6,71.96,64.96,0.065,0.528,0.593,4653,3,0,2007,1289207,ENG
23,Brian Gay,107,70.877,270.0,72.9,62.94,0.384,-0.027999999999999997,0.35600000000000004,4619,2,0,2007,1114571,USA
24,Briny Baird,115,70.66199999999999,292.1,66.24,69.27,-0.049,0.635,0.586,3517,1,0,2007,985453,USA
25,Bryce Molder,56,72.85300000000001,291.2,54.82,59.47,0.18600000000000003,-1.629,-1.443,107,1,0,2007,257593,USA
26,Bubba Dickerson,51,72.712,298.9,61.68,59.34,-0.66,-0.97,-1.63,252,0,0,2007,87430,USA
27,Bubba Watson,80,70.914,315.2,55.66,65.49,0.085,0.28800000000000003,0.37200000000000005,7198,5,0,2007,1654807,USA
28,Cameron Beckman,96,70.845,291.9,67.7,69.87,-0.07200000000000001,0.49,0.418,1610,3,0,2007,902258,USA
29,Camilo Villegas,82,70.163,298.3,60.23,65.72,0.046,0.903,0.9490000000000001,10337,6,0,2007,1866961,COL
30,Carl Pettersson,111,70.453,288.5,59.41,63.84,0.23199999999999998,0.589,0.821,7309,6,0,2007,2040938,SWE
31,Chad Campbell,96,71.309,287.0,62.79,63.77,-0.47700000000000004,0.24,-0.237,3144,2,1,2007,1701242,USA
32,Charles Howell III,89,70.655,299.8,49.54,63.37,0.33799999999999997,0.03,0.368,13427,5,1,2007,2832091,USA
33,Charles Warren,101,70.793,302.8,66.81,68.37,-0.324,0.638,0.314,4012,3,0,2007,1068440,USA
34,Charley Hoffman,97,71.229,299.9,57.08,64.03,0.153,-0.187,-0.034,6457,2,1,2007,1689366,USA
35,Charlie Wi,90,70.873,286.0,66.59,66.35,0.41600000000000004,0.005,0.42100000000000004,4038,3,0,2007,1145975,KOR
36,Chris Couch,76,71.783,299.8,56.59,64.11,-0.135,-0.48100000000000004,-0.616,1494,0,0,2007,355386,USA
37,Chris DiMarco,79,70.913,282.4,59.05,60.53,-0.068,0.183,0.115,3385,1,0,2007,950414,USA
38,Chris Riley,59,71.009,280.6,71.39,62.12,0.281,0.024,0.305,919,0,0,2007,403199,USA
39,Chris Stroud,66,71.218,290.0,66.56,66.15,-0.087,0.046,-0.040999999999999995,1174,2,0,2007,673106,USA
40,Chris Tidland,59,71.967,292.9,61.8,63.64,0.547,-1.253,-0.706,1044,1,0,2007,339482,USA
41,Cliff Kresge,107,70.76,285.6,61.15,64.75,0.095,-0.021,0.07400000000000001,3915,1,0,2007,901549,USA
42,Corey Pavin,81,71.27600000000001,265.3,68.82,60.77,0.309,-0.48700000000000004,-0.17800000000000002,2081,1,0,2007,498252,USA
43,Craig Barlow,52,71.343,295.5,60.97,67.2,-0.253,0.278,0.024,451,0,0,2007,154214,USA
44,Craig Bowden,78,71.565,273.1,73.07,64.91,0.255,-0.258,-0.004,1193,1,0,2007,333970,USA
45,Craig Kanada,109,71.065,277.2,65.96,64.5,0.012,-0.001,0.011000000000000001,3189,1,0,2007,743305,USA
46,Craig Lile,77,71.38600000000001,283.9,63.27,63.04,0.484,-0.5920000000000001,-0.10800000000000001,599,0,0,2007,255659,RSA
47,D.J. Brigman,67,71.467,288.9,62.2,66.05,-0.026000000000000002,-0.46399999999999997,-0.49,653,0,0,2007,268205,USA
48,D.J. Trahan,99,71.083,295.1,65.36,66.95,-0.5589999999999999,0.53,-0.028999999999999998,2874,3,0,2007,1106374,USA
49,Daisuke Maruyama,86,71.547,288.6,67.42,64.91,-0.265,-0.12,-0.385,685,1,0,2007,499206,JPN
50,Daniel Chopra,106,70.94800000000001,297.6,55.34,65.2,0.222,0.18,0.402,2919,3,1,2007,1755110,SWE
51,Darron Stiles,65,71.592,284.8,68.35,65.48,-1.0170000000000001,0.368,-0.649,922,0,0,2007,215379,USA
52,David Branshaw,83,72.223,289.2,65.74,64.73,-0.382,-0.662,-1.044,324,1,0,2007,323407,USA
53,David Toms,80,69.883,282.5,64.85,63.78,0.278,0.612,0.89,8859,7,0,2007,2095837,USA
54,Davis Love III,66,70.984,296.8,58.58,64.02,-0.29,0.337,0.048,4317,3,0,2007,1016489,USA
55,Dean Wilson,92,70.557,277.2,64.0,63.35,0.619,-0.175,0.444,4789,4,0,2007,1258507,USA
56,Dicky Pride,71,71.465,281.4,62.65,63.6,0.307,-0.63,-0.322,907,1,0,2007,415792,USA
57,Doug LaBelle II,104,71.332,276.6,72.78,64.33,-0.018000000000000002,-0.32,-0.33799999999999997,2734,1,0,2007,604633,USA
58,Duffy Waldorf,69,71.648,287.5,64.88,66.99,-0.21899999999999997,-0.032,-0.25,1313,0,0,2007,359018,USA
59,Eric Axley,107,71.97,287.8,55.88,61.32,0.059000000000000004,-0.784,-0.726,1740,0,0,2007,440911,USA
60,Ernie Els,59,69.294,297.9,56.99,64.66,-0.031,1.609,1.578,12112,5,0,2007,2705715,RSA
61,Frank Lickliter II,95,71.137,284.2,65.64,65.15,0.22699999999999998,-0.139,0.08800000000000001,2350,0,0,2007,584084,USA
62,Fred Funk,65,70.55,271.8,75.26,61.75,0.265,-0.053,0.21100000000000002,4626,2,1,2007,1239376,USA
63,Freddie Jacobson,70,70.259,284.7,63.62,66.19,0.66,0.353,1.012,4540,5,0,2007,1469541,SWE
64,Gavin Coles,87,71.245,268.3,70.27,62.58,0.34,-0.626,-0.28600000000000003,2174,2,0,2007,511353,AUS
65,Geoff Ogilvy,84,70.085,295.3,59.02,62.75,0.07200000000000001,0.7490000000000001,0.821,13390,7,0,2007,2943203,AUS
66,George McNeill,95,70.991,298.2,59.84,63.43,0.48700000000000004,-0.213,0.27399999999999997,3524,2,1,2007,1504627,USA
67,Glen Day,85,71.172,280.7,70.42,64.33,0.063,-0.23800000000000002,-0.175,1672,0,0,2007,397491,USA
68,Greg Owen,81,72.086,296.5,64.08,68.14,-0.848,-0.066,-0.915,1321,1,0,2007,426601,ENG
69,Harrison Frazar,88,71.569,302.8,55.07,63.63,-0.439,0.011000000000000001,-0.429,2710,2,0,2007,698534,USA
70,Heath Slocum,101,69.94800000000001,279.6,73.28,66.45,0.22,0.659,0.879,9132,6,0,2007,2184379,USA
71,Henrik Stenson,52,70.935,296.3,56.97,61.23,0.3,-0.012,0.28800000000000003,6948,2,1,2007,1897554,SWE
72,Hunter Mahan,91,69.99,296.7,68.05,66.91,0.213,0.419,0.632,13380,6,1,2007,2858995,USA
73,Ian Poulter,63,70.07300000000001,282.5,63.23,61.67,-0.038,0.958,0.92,6884,5,0,2007,1431390,ENG
74,J.B. Holmes,71,71.377,312.6,58.7,64.57,-0.5589999999999999,0.223,-0.336,3035,3,0,2007,874216,USA
