,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,Year,MONEY,COUNTRY
0,Aaron Baddeley,83,70.088,291.9,60.00,60.35,.629,.435,1.064,"17,703",7,1,2007,"$3,441,119",AUS
1,Adam Scott,69,70.008,300.9,59.17,65.44,.129,1.105,1.234,"15,630",6,1,2007,"$3,413,185",AUS
2,Alex Cejka,80,70.437,288.9,68.08,69.44,-.479,1.207,.728,"2,400",4,,2007,"$868,303",GER
3,Anders Hansen,55,70.856,280.7,66.95,62.85,-.176,.087,-.089,"1,989",,,2007,"$461,216",DEN
4,Andrew Buckle,77,71.443,294.7,58.14,62.52,.161,-.426,-.265,"1,875",1,,2007,"$513,630",AUS
5,Anthony Kim,93,70.128,302.4,60.79,65.35,-.121,.794,.673,"6,856",4,,2007,"$1,545,195",USA
6,Arron Oberholser,69,69.807,285.5,61.70,62.25,.362,.821,1.183,"8,811",5,,2007,"$1,797,458",USA
7,Bart Bryant,87,70.637,281.1,70.66,66.34,.198,.440,.638,"4,555",2,,2007,"$1,167,874",USA
8,Ben Curtis,80,71.582,277.1,67.37,60.56,-.188,-.561,-.749,"2,955",2,,2007,"$772,321",USA
9,Bill Haas,93,70.653,302.7,62.93,65.98,-.018,.426,.408,"2,461",3,,2007,"$967,443",USA
10,Billy Andrade,88,71.588,286.2,59.56,65.03,-.134,-.107,-.241,"2,019",,,2007,"$499,197",USA
11,Billy Mayfair,98,70.444,286.8,70.70,68.08,-.086,.690,.604,"6,309",6,,2007,"$1,814,518",USA
12,Bo Van Pelt,104,70.051,294.7,61.97,66.40,.160,.789,.949,"5,604",4,,2007,"$1,559,181",USA
13,Bob Estes,88,70.962,282.6,65.28,63.19,.616,-.235,.380,"3,119",3,,2007,"$878,051",USA
14,Bob Heintz,85,71.162,285.2,64.74,63.17,.221,-.143,.078,"2,888",2,,2007,"$649,342",USA
